OBJECTID,Sensor Status (1=Active 0=Inactive),Unique ID,RWIS Site Number,RWIS RPU ID,Sensor Name,PLSS Township,PLSS Section,PLSS Range,RWIS Name,NWS ID,Latitude,Longitude,Altitude,County Name,Route Name,Mile Post,Cost Center,Garage Name,DOT District,County Number,Data Last Pulled from RWIS Sensor (UTC),REST Service Last Updated (UTC),Average Speed (MPH),Average Headway,Lane ID,UTC Offset
48,1,5120350,512035,35,I-35 NB Ramp,T72N,24,R26W,Osceola,ROSI4,41.0267,-93.7943,1115,CLARKE,US 34,114.3,555620,Osceola,5,20,1565127237000,1565127984403,30,0,0,-05:00
49,1,5120351,512035,35,I-35 NB Driving Lane,T72N,24,R26W,Osceola,ROSI4,41.0267,-93.7943,1115,CLARKE,US 34,114.3,555620,Osceola,5,20,1565127237000,1565127984403,68,0,1,-05:00
50,1,5120352,512035,35,I-35 NB Passing Lane,T72N,24,R26W,Osceola,ROSI4,41.0267,-93.7943,1115,CLARKE,US 34,114.3,555620,Osceola,5,20,1565127237000,1565127984403,66,0,2,-05:00
51,1,5120353,512035,35,I-35 SB Passing Lane,T72N,24,R26W,Osceola,ROSI4,41.0267,-93.7943,1115,CLARKE,US 34,114.3,555620,Osceola,5,20,1565127237000,1565127984403,63,180,3,-05:00
52,1,5120354,512035,35,I-35 SB Driving Lane,T72N,24,R26W,Osceola,ROSI4,41.0267,-93.7943,1115,CLARKE,US 34,114.3,555620,Osceola,5,20,1565127237000,1565127984403,62,180,4,-05:00
53,1,5120360,512036,36,US 63 NB Driving Lane,T72N,24,R14W,Ottumwa,ROTI4,41.016833,-92.4212,642,WAPELLO,US 63,35.6,555690,Ottumwa,5,90,1565127940000,1565127984403,40,0,0,-05:00
54,1,5120361,512036,36,US 63 NB Passing Lane,T72N,24,R14W,Ottumwa,ROTI4,41.016833,-92.4212,642,WAPELLO,US 63,35.6,555690,Ottumwa,5,90,1565127940000,1565127984403,45,0,1,-05:00
55,1,5120362,512036,36,US 63 SB Drving Lane,T72N,24,R14W,Ottumwa,ROTI4,41.016833,-92.4212,642,WAPELLO,US 63,35.6,555690,Ottumwa,5,90,1565127940000,1565127984403,42,180,2,-05:00
56,1,5120363,512036,36,US 63 SB Passing Lane,T72N,24,R14W,Ottumwa,ROTI4,41.016833,-92.4212,642,WAPELLO,US 63,35.6,555690,Ottumwa,5,90,1565127940000,1565127984403,43,180,3,-05:00
57,1,5120370,512037,37,IA 163 WB Drivng Lane,T76N,13,R18W,Pella,RPLI4,41.390167,-92.8725,890,MARION,IA 163,44.9,555662,Oskaloosa,5,63,1565127675000,1565127984403,69,270,0,-05:00
58,1,5120371,512037,37,IA 163 WB Passing Lane,T76N,13,R18W,Pella,RPLI4,41.390167,-92.8725,890,MARION,IA 163,44.9,555662,Oskaloosa,5,63,1565127675000,1565127984403,76,270,1,-05:00
59,1,5120372,512037,37,IA 163 EB Passing Lane,T76N,13,R18W,Pella,RPLI4,41.390167,-92.8725,890,MARION,IA 163,44.9,555662,Oskaloosa,5,63,1565127675000,1565127984403,71,90,2,-05:00
60,1,5120373,512037,37,IA 163 EB Driving Lane,T76N,13,R18W,Pella,RPLI4,41.390167,-92.8725,890,MARION,IA 163,44.9,555662,Oskaloosa,5,63,1565127675000,1565127984403,71,90,3,-05:00
61,1,5120400,512040,40,IA 92 EB,T76N,36,R13W,Sigourney,RSGI4,41.336333,-92.3145,664,KEOKUK,IA 92,198.65,555854,Sigourney,5,54,1565127568000,1565127984403,58,90,0,-05:00
62,1,5120401,512040,40,IA 92 WB,T76N,36,R13W,Sigourney,RSGI4,41.336333,-92.3145,664,KEOKUK,IA 92,198.65,555854,Sigourney,5,54,1565127568000,1565127984403,62,270,1,-05:00
63,0,5120410,512041,41,US 20 WB Driving Lane,T89N,31,R44W,Moville,RSCI4,42.4822,-96.0787,1149,WOODBURY,US 20,,553603,Sioux City Leeds,3,97,1562698861000,1565127984403,9999,270,0,-05:00
64,0,5120411,512041,41,US 20 WB Passing Lane,T89N,31,R44W,Moville,RSCI4,42.4822,-96.0787,1149,WOODBURY,US 20,,553603,Sioux City Leeds,3,97,1562698861000,1565127984403,9999,270,1,-05:00
65,0,5120412,512041,41,US 20 EB Passing Lane,T89N,31,R44W,Moville,RSCI4,42.4822,-96.0787,1149,WOODBURY,US 20,72.0,553603,Sioux City Leeds,3,97,1562698861000,1565127984403,9999,90,2,-05:00
66,0,5120413,512041,41,US 20 EB Driving Lane,T89N,31,R44W,Moville,RSCI4,42.4822,-96.0787,1149,WOODBURY,US 20,72.0,553603,Sioux City Leeds,3,97,1562698861000,1565127984403,9999,90,3,-05:00
67,1,5120420,512042,42,US 18 EB,T96N,22,R36W,Spencer,RSPI4,43.126833000000005,-95.0888,1484,CLAY,US 18,84.5,553812,Spencer,3,21,1565127662000,1565127984403,56,90,0,-05:00
68,1,5120421,512042,42,US 18 WB,T96N,22,R36W,Spencer,RSPI4,43.126833000000005,-95.0888,1484,CLAY,US 18,84.5,553812,Spencer,3,21,1565127662000,1565127984403,53,270,1,-05:00
69,1,5120430,512043,43,IA 71 SB,T92N,36,R37W,Storm Lake,RSLI4,42.7475,-95.1515,1329,BUENA VISTA,US 71,172.4,553805,Storm Lake,3,11,1565127730000,1565127984403,39,180,0,-05:00
70,1,5120431,512043,43,IA 71 NB,T92N,36,R37W,Storm Lake,RSLI4,42.7475,-95.1515,1329,BUENA VISTA,US 71,172.4,553805,Storm Lake,3,11,1565127730000,1565127984403,38,0,1,-05:00
71,1,5120440,512044,44,I-80 EB Driving Lane,T79N,18,R02W,Tipton,RTPI4,41.6448,-91.1272,664,CEDAR,I-80,266.2,556802,Tipton,6,16,1565127599000,1565127984403,69,90,0,-05:00
72,1,5120441,512044,44,I-80 EB Passing Lane,T79N,18,R02W,Tipton,RTPI4,41.6448,-91.1272,664,CEDAR,I-80,266.2,556802,Tipton,6,16,1565127599000,1565127984403,75,90,1,-05:00
73,1,5120442,512044,44,I-80 WB Passing Lane,T79N,18,R02W,Tipton,RTPI4,41.6448,-91.1272,664,CEDAR,I-80,266.2,556802,Tipton,6,16,1565127599000,1565127984403,76,270,2,-05:00
74,1,5120443,512044,44,I-80 WB Driving Lane,T79N,18,R02W,Tipton,RTPI4,41.6448,-91.1272,664,CEDAR,I-80,266.2,556802,Tipton,6,16,1565127599000,1565127984403,71,270,3,-05:00
75,1,5120460,512046,46,US 20 WB Driving Lane,T88N,12,R13W,Waterloo,RWLI4,42.455667,-92.309,882,BLACK HAWK,US 20,71.3,552807,Waterloo,2,7,1565127735000,1565127984403,11,270,0,-05:00
76,1,5120461,512046,46,US 20 WB Passing Lane,T88N,12,R13W,Waterloo,RWLI4,42.455667,-92.309,882,BLACK HAWK,US 20,71.3,552807,Waterloo,2,7,1565127735000,1565127984403,11,270,1,-05:00
77,1,5120462,512046,46,US 20 EB Passing Lane,T88N,12,R13W,Waterloo,RWLI4,42.455667,-92.309,882,BLACK HAWK,US 20,71.3,552807,Waterloo,2,7,1565127735000,1565127984403,40,90,2,-05:00
78,1,5120463,512046,46,US 20 EB Driving Lane,T88N,12,R13W,Waterloo,RWLI4,42.455667,-92.309,882,BLACK HAWK,US 20,71.3,552807,Waterloo,2,7,1565127735000,1565127984403,55,90,3,-05:00
79,1,5120470,512047,47,I-35 SB Driving Lane,T90N,23,R23W,Williams,RWII4,42.5875,-93.5315,1067,HAMILTON,I-35,153.0,551609,Williams,2,40,1565127701000,1565127984403,61,180,0,-05:00
80,1,5120472,512047,47,I-35 NB Passing Lane,T90N,23,R23W,Williams,RWII4,42.5875,-93.5315,1067,HAMILTON,I-35,153.0,551609,Williams,2,40,1565127701000,1565127984403,75,0,2,-05:00
81,1,5120473,512047,47,I-35 NB Driving Lane,T90N,23,R23W,Williams,RWII4,42.5875,-93.5315,1067,HAMILTON,I-35,153.0,551609,Williams,2,40,1565127701000,1565127984403,66,0,3,-05:00
82,1,5120480,512048,48,I-80 WB Driving Lane,T80N,33,R10W,Williamsburg,RWBI4,41.687667,-92.0087,854,IOWA,I-80,219.9,556606,Williamsburg,6,48,1565127528000,1565127984403,69,270,0,-05:00
83,1,5120481,512048,48,I-80 WB Passing Lane,T80N,33,R10W,Williamsburg,RWBI4,41.687667,-92.0087,854,IOWA,I-80,219.9,556606,Williamsburg,6,48,1565127528000,1565127984403,73,270,1,-05:00
84,1,5120482,512048,48,I-80 EB Passing Lane,T80N,33,R10W,Williamsburg,RWBI4,41.687667,-92.0087,854,IOWA,I-80,219.9,556606,Williamsburg,6,48,1565127528000,1565127984403,88,90,2,-05:00
85,1,5120483,512048,48,I-80 EB Driving Lane,T80N,33,R10W,Williamsburg,RWBI4,41.687667,-92.0087,854,IOWA,I-80,219.9,556606,Williamsburg,6,48,1565127528000,1565127984403,70,90,3,-05:00
86,1,5120082,512008,8,US 30 EB Passing Lane,T84N,14,R35W,Carroll,RCAI4,42.0785,-94.8975,1275,CARROLL,US 30,80.0,553613,Carroll,3,14,1565127735000,1565127984403,56,90,2,-05:00
87,1,5120083,512008,8,US 30 EB Driving Lane, ,14,R35W,Carroll,RCAI4,42.0785,-94.8975,1275,CARROLL,US 30,80.0,553613,Carroll,3,14,1565127735000,1565127984403,48,90,3,-05:00
88,1,5120090,512009,9,I-380 NB Ramp,T83N,21,R07W,Cedar Rapids I-380,RCDI4,41.978,-91.6745,773,LINN,I-380,19.95,556608,Cedar Rapids,6,57,1565127774000,1565127984403,43,0,0,-05:00
89,1,5120091,512009,9,I-380 NB Driving Lane,T83N,21,R07W,Cedar Rapids I-380,RCDI4,41.978,-91.6745,773,LINN,I-380,19.95,556608,Cedar Rapids,6,57,1565127774000,1565127984403,51,0,1,-05:00
90,1,5120092,512009,9,I-380 NB Center Lane,T83N,21,R07W,Cedar Rapids I-380,RCDI4,41.978,-91.6745,773,LINN,I-380,19.95,556608,Cedar Rapids,6,57,1565127774000,1565127984403,51,0,2,-05:00
91,1,5120093,512009,9,I-380 NB Passing Lane,T83N,21,R07W,Cedar Rapids I-380,RCDI4,41.978,-91.6745,773,LINN,I-380,19.95,556608,Cedar Rapids,6,57,1565127774000,1565127984403,53,0,3,-05:00
92,1,5120094,512009,9,I-380 SB Passing Lane,T83N,21,R07W,Cedar Rapids I-380,RCDI4,41.978,-91.6745,773,LINN,I-380,19.95,556608,Cedar Rapids,6,57,1565127774000,1565127984403,48,180,4,-05:00
93,1,5120096,512009,9,I-380 SB Driving Lane,T83N,21,R07W,Cedar Rapids I-380,RCDI4,41.978,-91.6745,773,LINN,I-380,19.95,556608,Cedar Rapids,6,57,1565127774000,1565127984403,45,180,6,-05:00
94,1,5120097,512009,9,I-380 SB Ramp,T83N,21,R07W,Cedar Rapids I-380,RCDI4,41.978,-91.6745,773,LINN,I-380,19.95,556608,Cedar Rapids,6,57,1565127774000,1565127984403,39,180,7,-05:00
95,1,5120100,512010,10,US 30 EB Driving Lane,T82N,8,R07W,Cedar Rapids US 30,RCII4,41.93,-91.6838,807,LINN,US 30,252.0,556608,Cedar Rapids,6,57,1565127736000,1565127984403,63,90,0,-05:00
96,1,5120101,512010,10,US 30 EB Passing Lane,T82N,8,R07W,Cedar Rapids US 30,RCII4,41.93,-91.6838,807,LINN,US 30,252.0,556608,Cedar Rapids,6,57,1565127736000,1565127984403,70,90,1,-05:00
97,1,5120102,512010,10,US 30 WB Passing Lane,T82N,8,R07W,Cedar Rapids US 30,RCII4,41.93,-91.6838,807,LINN,US 30,252.0,556608,Cedar Rapids,6,57,1565127736000,1565127984403,62,270,2,-05:00
98,1,5120103,512010,10,US 30 WB Driving Lane,T82N,8,R07W,Cedar Rapids US 30,RCII4,41.93,-91.6838,807,LINN,US 30,252.0,556608,Cedar Rapids,6,57,1565127736000,1565127984403,58,270,3,-05:00
99,1,5120110,512011,11,IA 2 WB,T69N,26,R19W,Centerville,RCNI4,40.739667,-93.0027,968,APPANOOSE,IA 2,164.3,555604,Centerville,5,4,1565127494000,1565127984403,56,270,0,-05:00
100,1,5120111,512011,11,IA 2 EB,T69N,26,R19W,Centerville,RCNI4,40.739667,-93.0027,968,APPANOOSE,IA 2,164.3,555604,Centerville,5,4,1565127494000,1565127984403,61,90,1,-05:00
101,1,5120130,512013,13,US 34 EB,T72N,9,R30W,Creston,RCEI4,41.049833,-94.30799999999999,1274,UNION,US 34,87.0,554607,Creston,4,88,1565127697000,1565127984403,58,90,0,-05:00
102,1,5120131,512013,13,US 34 WB,T72N,9,R30W,Creston,RCEI4,41.049833,-94.30799999999999,1274,UNION,US 34,87.0,554607,Creston,4,88,1565127697000,1565127984403,56,270,1,-05:00
103,1,5120140,512014,14,I-80 EB Driving Lane,T79N,36,R02E,Davenport,RDVI4,41.602333,-90.6777,676,SCOTT,I-80,289.9,556812,Davenport,6,82,1565127296000,1565127984403,70,90,0,-05:00
104,1,5120141,512014,14,I-80 EB Passing Lane,T79N,36,R02E,Davenport,RDVI4,41.602333,-90.6777,676,SCOTT,I-80,289.9,556812,Davenport,6,82,1565127296000,1565127984403,76,90,1,-05:00
105,1,5120150,512015,15,IA 9 WB,T97N,5,R07W,Decorah,RDCI4,43.2455,-91.6997,1017,WINNESHIEK,IA 9,265.2,552896,Decorah,2,96,1565127717000,1565127984403,57,270,0,-05:00
106,1,5120151,512015,15,IA 9 EB,T97N,5,R07W,Decorah,RDCI4,43.2455,-91.6997,1017,WINNESHIEK,IA 9,265.2,552896,Decorah,2,96,1565127717000,1565127984403,60,90,1,-05:00
107,1,5120190,512019,19,US 61 SB Ramp,T81N,14,R03E,De Witt,RDWI4,41.826167,-90.5705,789,CLINTON,US 61,139.75,556804,De Witt,6,23,1565127302000,1565127984403,40,180,0,-05:00
108,1,5120191,512019,19,US 61 SB Driving Lane,T81N,14,R03E,De Witt,RDWI4,41.826167,-90.5705,789,CLINTON,US 61,139.75,556804,De Witt,6,23,1565127302000,1565127984403,68,180,1,-05:00
109,1,5120192,512019,19,US 61 SB Passing Lane,T81N,14,R03E,De Witt,RDWI4,41.826167,-90.5705,789,CLINTON,US 61,139.75,556804,De Witt,6,23,1565127302000,1565127984403,66,180,2,-05:00
110,1,5120193,512019,19,US 61 NB Passing Lane,T81N,14,R03E,De Witt,RDWI4,41.826167,-90.5705,789,CLINTON,US 61,139.75,556804,De Witt,6,23,1565127302000,1565127984403,71,0,3,-05:00
111,1,5120194,512019,19,US 61 NB Driving Lane,T81N,14,R03E,De Witt,RDWI4,41.826167,-90.5705,789,CLINTON,US 61,139.75,556804,De Witt,6,23,1565127302000,1565127984403,63,0,4,-05:00
112,1,5120524,512052,52,US 151 EB Exit Ramp,T84N,24,R05W,Anamosa,RCRI4,42.071186,-91.335695,939,JONES,IA 1,266.2,556810,Anamosa,6,53,1565127566000,1565127984403,47,90,4,-05:00
113,1,5120493,512049,49,I-35 NB Driving Lane,T99N,17,R21W,Worth County/Hanlontown,RHAI4,43.392167,-93.3498,1093,WORTH,I-35,211.2,552698,Hanlontown,2,98,1565127541000,1565127984403,1,0,3,-05:00
114,1,5120500,512050,50,US 20 WB Driving Lane,T88N,10,R19W,Steamboat Rock,RSBI4,42.4534,-93.0583,1111,HARDIN,US 20,,551608,Iowa Falls,1,42,1565127897000,1565127984403,71,270,0,-05:00
115,1,5120501,512050,50,US 20 WB Passing Lane,T88N,10,R19W,Steamboat Rock,RSBI4,42.4534,-93.0583,1111,HARDIN,US 20,,551608,Iowa Falls,1,42,1565127897000,1565127984403,79,270,1,-05:00
116,1,5120502,512050,50,US 20 EB Passing Lane,T88N,10,R19W,Steamboat Rock,RSBI4,42.4534,-93.0583,1111,HARDIN,US 20,,551608,Iowa Falls,1,42,1565127897000,1565127984403,73,90,2,-05:00
117,1,5120503,512050,50,US 20 EB Driving Lane,T88N,10,R19W,Steamboat Rock,RSBI4,42.4534,-93.0583,1111,HARDIN,US 20,,551608,Iowa Falls,1,42,1565127897000,1565127984403,68,90,3,-05:00
118,1,5120510,512051,51,US 59 WB,T87N,15,R40W,Ida Grove,RIGI4,42.3515,-95.4783,1215,IDA,US 59,172.4,553608,Ida Grove,3,47,1565127639000,1565127984403,57,270,0,-05:00
119,1,5120511,512051,51,US 59 EB,T87N,15,R40W,Ida Grove,RIGI4,42.3515,-95.4783,1215,IDA,US 59,172.4,553608,Ida Grove,3,47,1565127639000,1565127984403,55,90,1,-05:00
120,1,5120520,512052,52,US 151 WB Driving Lane,T84N,24,R05W,Anamosa,RCRI4,42.071186,-91.335695,939,JONES,IA 1,,556810,Anamosa,6,53,1565127566000,1565127984403,70,270,0,-05:00
121,1,5120521,512052,52,US 151 WB Passing Lane,T84N,24,R05W,Anamosa,RCRI4,42.071186,-91.335695,939,JONES,IA 1,,556810,Anamosa,6,53,1565127566000,1565127984403,73,270,1,-05:00
122,1,5120522,512052,52,US 151 EB Passing Lane,T84N,24,R05W,Anamosa,RCRI4,42.071186,-91.335695,939,JONES,IA 1,,556810,Anamosa,6,53,1565127566000,1565127984403,73,90,2,-05:00
